permno,caldt,ticker,prc,ret,me,analysts
91659,2020-10-30,ALGT,134.75999,0.124875,2208.5814761099996,10.0
91659,2020-11-30,ALGT,170.19,0.262912,2789.24391,11.0
91659,2020-12-31,ALGT,189.24001,0.111934,3104.6716040600004,11.0
91665,2020-01-31,GLDD,10.47,-0.075905,673.04301,2.0
91665,2020-02-28,GLDD,9.7,-0.073543,623.5741999999999,2.0
91665,2020-03-31,GLDD,8.3,-0.14433,537.7985,2.0
91665,2020-04-30,GLDD,8.84,0.06506,572.7878000000001,2.0
91665,2020-05-29,GLDD,9.27,0.048643,600.6496500000001,2.0
91665,2020-06-30,GLDD,9.26,-0.001079,601.40922,2.0
91665,2020-07-31,GLDD,8.36,-0.097192,542.95692,2.0
91665,2020-08-31,GLDD,9.37,0.120813,608.5533899999999,2.0
91665,2020-09-30,GLDD,9.51,0.014941,614.7739499999999,2.0
91665,2020-10-30,GLDD,10.33,0.086225,671.15043,2.0
91665,2020-11-30,GLDD,11.29,0.092933,733.5225899999999,2.0
91665,2020-12-31,GLDD,13.17,0.166519,856.3529100000001,2.0
91668,2020-01-31,IPGP,127.67,-0.119031,6767.91437,14.0
91668,2020-02-28,IPGP,127.64,-0.000235,6772.45076,14.0
91668,2020-03-31,IPGP,110.28,-0.136008,5858.845560000001,14.0
91668,2020-04-30,IPGP,129.33,0.172742,6872.85486,14.0
91668,2020-05-29,IPGP,155.39999,0.201577,8240.55066972,10.0
91668,2020-06-30,IPGP,160.39,0.032111,8529.86098,11.0
91668,2020-07-31,IPGP,179.00999,0.116092,9520.10928818,11.0
91668,2020-08-31,IPGP,161.73,-0.096531,8613.25461,11.0
91668,2020-09-30,IPGP,169.97,0.050949,9059.57097,0.0
91668,2020-10-30,IPGP,185.96001,0.094075,9911.854493010002,11.0
91668,2020-11-30,IPGP,207.00999,0.113196,11033.839476989999,10.0
91668,2020-12-31,IPGP,223.78999,0.081059,11956.427795729998,10.0
91672,2020-01-31,MNOV,5.79,-0.14095,254.22732000000002,1.0
91672,2020-02-28,MNOV,4.2,-0.274611,184.61520000000002,1.0
91672,2020-03-31,MNOV,3.72,-0.114286,163.60188,2.0
91672,2020-04-30,MNOV,5.15,0.384409,226.95020000000002,2.0
91672,2020-05-29,MNOV,5.34,0.036893,235.32312,3.0
91672,2020-06-30,MNOV,5.42,0.014981,239.91088,3.0
91672,2020-07-31,MNOV,6.22,0.147601,276.00006,3.0
91672,2020-08-31,MNOV,5.24,-0.157556,232.51452,3.0
91672,2020-09-30,MNOV,5.24,0.0,235.42272,3.0
91672,2020-10-30,MNOV,5.59,0.066794,251.14752,3.0
91672,2020-11-30,MNOV,5.94,0.062612,266.87232,1.0
